Commit URL|Extract Refactoring Description|EM: Facilitate extension|EM: Introduce alternative method signature|EM: Remove duplication|EM: Decompose method to improve readability|EM: Replace method keeping backward compatibility|EM: Enable overriding|EM: Introduce async operation|EM: Introduce factory method|EM: Improve testability|EM: Enable recursion|EM: Extract reusable method
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public withinPercentage(value Double) : Percentage from class org.assertj.core.api.Assertions to public withinPercentage(value Double) : Percentage from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public linesOf(url URL, charset Charset) : List<String> from class org.assertj.core.api.Assertions to public linesOf(url URL, charset Charset) : List<String> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(optionalDouble OptionalDouble) : OptionalDoubleAssert from class org.assertj.core.api.Assertions to public assertThat(optionalDouble OptionalDouble) : OptionalDoubleAssert from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public within(value Integer) : Offset<Integer> from class org.assertj.core.api.Assertions to public within(value Integer) : Offset<Integer> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(optional Optional<T>) : OptionalAssert<T> from class org.assertj.core.api.Assertions to public assertThat(optional Optional<T>) : OptionalAssert<T> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public anyOf(conditions Condition<? super T>...) : Condition<T> from class org.assertj.core.api.Assertions to public anyOf(conditions Condition<? super T>...) : Condition<T> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(actual OffsetDateTime) : AbstractOffsetDateTimeAssert<?> from class org.assertj.core.api.Assertions to public assertThat(actual OffsetDateTime) : AbstractOffsetDateTimeAssert<?> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public filter(array E[]) : Filters<E> from class org.assertj.core.api.Assertions to public filter(array E[]) : Filters<E> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public contentOf(url URL, charsetName String) : String from class org.assertj.core.api.Assertions to public contentOf(url URL, charsetName String) : String from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public within(value Double) : Offset<Double> from class org.assertj.core.api.Assertions to public within(value Double) : Offset<Double> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public within(value Short) : Offset<Short> from class org.assertj.core.api.Assertions to public within(value Short) : Offset<Short> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public contentOf(url URL, charset Charset) : String from class org.assertj.core.api.Assertions to public contentOf(url URL, charset Charset) : String from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public contentOf(file File, charset Charset) : String from class org.assertj.core.api.Assertions to public contentOf(file File, charset Charset) : String from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public extractProperty(propertyName String) : Properties<Object> from class org.assertj.core.api.Assertions to public extractProperty(propertyName String) : Properties<Object> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public within(value Float) : Offset<Float> from class org.assertj.core.api.Assertions to public within(value Float) : Offset<Float> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(date ZonedDateTime) : AbstractZonedDateTimeAssert<?> from class org.assertj.core.api.Assertions to public assertThat(date ZonedDateTime) : AbstractZonedDateTimeAssert<?> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public setAllowComparingPrivateFields(allowComparingPrivateFields boolean) : void from class org.assertj.core.api.Assertions to public setAllowComparingPrivateFields(allowComparingPrivateFields boolean) : void from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public filter(iterableToFilter Iterable<E>) : Filters<E> from class org.assertj.core.api.Assertions to public filter(iterableToFilter Iterable<E>) : Filters<E> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public within(value BigDecimal) : Offset<BigDecimal> from class org.assertj.core.api.Assertions to public within(value BigDecimal) : Offset<BigDecimal> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(actual Character) : AbstractCharacterAssert<?> from class org.assertj.core.api.Assertions to public assertThat(actual Character) : AbstractCharacterAssert<?> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public anyOf(conditions Iterable<? extends Condition<? super T>>) : Condition<T> from class org.assertj.core.api.Assertions to public anyOf(conditions Iterable<? extends Condition<? super T>>) : Condition<T> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(actual boolean) : AbstractBooleanAssert<?> from class org.assertj.core.api.Assertions to public assertThat(actual boolean) : AbstractBooleanAssert<?> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(actual double[]) : AbstractDoubleArrayAssert<?> from class org.assertj.core.api.Assertions to public assertThat(actual double[]) : AbstractDoubleArrayAssert<?> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(localDateTime LocalDateTime) : AbstractLocalDateTimeAssert<?> from class org.assertj.core.api.Assertions to public assertThat(localDateTime LocalDateTime) : AbstractLocalDateTimeAssert<?> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public setAllowExtractingPrivateFields(allowExtractingPrivateFields boolean) : void from class org.assertj.core.api.Assertions to public setAllowExtractingPrivateFields(allowExtractingPrivateFields boolean) : void from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
"https://github.com/joel-costigliola/assertj-core/commit/b36ab386559d04db114db8edd87c8d4cbf850c12"|Pull Up Method public assertThat(actual T[]) : AbstractObjectArrayAssert<?,T> from class org.assertj.core.api.Assertions to public assertThat(actual T[]) : AbstractObjectArrayAssert<?,T> from class org.assertj.core.api.StrictAssertions|0|0|0|0|0|0|0|0|0|0|0
